IES;MUNICIPIO;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2;2023-1;2023-2;2024-1;2024-2
1830;Cali;DESERTORES;0;0;175;321;403;358;380;444;458;411;347;425;425;471;492;462;544;583;486;904;534;560;646;696;757;706;675;709;662;798;812;801;785;995;856;779;868;786;923;1013;895;908;863;863;873;857;807;642;676;533;603;597;602;475
2114;Cali;DESERTORES;0;0;8;8;26;36;46;90;174;142;118;120;56;32;90;83;47;75;67;76;78;86;85;40;186;1;134;11;183;108;130;126;128;121;150;133;165;220;240;258;258;322;276;308;229;294;215;161;155;189;132;192;175;181
2206;Cali;DESERTORES;0;0;9;17;13;28;15;31;30;30;29;31;45;46;35;31;48;37;43;46;36;40;57;102;54;40;56;49;68;69;74;87;82;55;73;103;79;74;105;161;78;66;51;53;83;52;31;79;69;60;60;71;69;66
2301;Tuluá;DESERTORES;0;0;63;9;43;12;66;58;139;82;166;129;176;146;252;193;239;188;213;165;312;261;336;313;316;288;341;362;337;307;465;300;339;405;314;236;304;271;351;179;238;298;528;431;359;322;231;220;258;369;355;293;329;289
2731;Cali;DESERTORES;0;0;8;11;6;11;11;19;51;18;29;35;27;22;49;64;62;94;186;187;406;306;310;394;397;328;301;71;182;223;199;187;176;182;292;237;187;273;344;440;347;412;472;465;602;908;877;747;407;535;420;496;410;310
2748;Cali;DESERTORES;;;;;;;;;;;;0;0;0;0;0;8;20;16;7;16;12;31;26;19;74;17;44;60;69;40;60;68;47;51;55;52;46;60;79;120;4;48;53;60;71;67;39;46;31;44;64;28;60
3301;Cali;DESERTORES;0;0;36;120;37;53;89;55;78;98;82;72;171;199;109;147;196;318;359;425;570;827;855;1126;797;749;890;694;873;665;797;667;636;686;810;887;840;868;1003;920;1050;807;939;865;801;889;728;463;660;967;775;796;737;870
3706;Cali;DESERTORES;;;;;;;;;;;;0;0;170;323;374;345;427;834;677;452;596;391;723;615;615;562;637;640;562;572;552;501;134;345;387;328;340;450;507;454;440;518;453;455;454;573;226;264;258;235;193;172;142
3715;Cali;DESERTORES;0;0;39;49;10;19;19;41;63;;;;;;;;;;105;40;124;155;97;112;55;68;63;92;128;84;109;97;86;171;185;148;258;265;225;257;243;185;196;165;178;146;220;240;218;160;103;291;1;
3801;Cartago;DESERTORES;0;0;55;73;36;19;21;16;7;0;12;13;8;17;24;19;35;77;1;47;71;172;9;8;12;68;41;44;52;51;50;217;46;67;79;65;76;70;116;120;106;79;86;119;109;97;119;67;90;93;78;66;85;59
3803;Cali;DESERTORES;;;;;;;;;;;;;;0;0;1;62;88;84;86;99;157;221;215;221;175;289;537;167;140;134;151;159;171;170;225;159;160;232;146;185;128;127;136;297;175;149;78;84;120;79;70;68;60
3805;Cali;DESERTORES;0;0;1;0;0;2;0;1;4;11;5;0;1;1;2;1;29;35;6;52;3;0;1;0;36;13;3;31;3;1;5;7;13;26;20;19;11;13;;;;;;;;;;;;;;;;
