ACADE;FINAN;CI_RECI;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2;2023-1;2023-2;2024-1;2024-2
4 a 6;M¿s de 7;1 a 3;MATRICULADOS;;;;1;4;5;5;9;14;16;17;19;23;32;38;45;62;62;72;77;94;110;136;149;175;150;201;219;255;290;316;327;383;402;479;554;707;757;748;741;719;715;698;665;642;549;499;393;312;249;199;161;134;102
4 a 6;M¿s de 7;4 a 6;MATRICULADOS;1;1;1;1;1;2;1;1;2;3;4;5;9;12;16;17;17;18;27;27;41;53;67;78;92;90;106;128;163;186;229;269;340;427;520;508;505;492;464;432;426;390;320;279;210;145;139;103;84;69;55;46;34;21
4 a 6;M¿s de 7;M¿s de 7;MATRICULADOS;;;;;;;;;3;3;7;13;36;61;82;88;113;121;153;177;214;235;289;304;362;399;502;565;671;686;719;685;651;616;559;501;447;363;241;159;104;82;50;34;25;25;17;20;15;13;10;10;4;6
M¿s de 7;Sin Informaci¿n;Sin Informaci¿n;MATRICULADOS;;;;;;;;;;;;;1;2;2;5;5;6;7;9;9;12;13;14;16;18;19;19;21;29;55;72;68;71;65;63;64;57;51;32;29;16;8;3;4;2;2;;;;;;;
M¿s de 7;Sin Informaci¿n;Ninguno;MATRICULADOS;22;27;44;63;75;87;113;132;143;132;138;138;145;126;147;145;182;197;223;226;244;257;281;278;300;244;218;246;216;217;269;289;437;441;500;529;614;696;783;824;946;1077;1221;1379;1678;1808;2003;1939;1858;1770;1655;1519;1332;946
M¿s de 7;Sin Informaci¿n;1 a 3;MATRICULADOS;1;3;10;12;23;23;24;25;30;31;30;30;29;25;22;22;37;46;51;54;55;54;53;55;54;41;31;36;21;19;28;26;27;28;35;43;44;49;47;41;38;39;41;41;37;40;33;30;30;25;26;22;19;10
M¿s de 7;Sin Informaci¿n;4 a 6;MATRICULADOS;;;1;1;1;1;2;3;3;3;3;4;3;5;10;9;15;17;18;17;20;23;25;25;26;28;23;25;25;22;25;26;38;35;40;38;34;34;33;31;28;28;24;22;21;16;15;12;11;11;6;6;5;3
M¿s de 7;Sin Informaci¿n;M¿s de 7;MATRICULADOS;;;1;1;1;1;1;1;1;2;2;3;23;30;40;50;66;83;88;89;91;93;92;90;84;59;50;60;45;61;134;130;128;120;121;114;114;111;86;68;33;19;9;6;3;5;4;2;3;2;;1;;1
M¿s de 7;Ninguno;Sin Informaci¿n;MATRICULADOS;1;1;2;2;3;3;4;4;4;5;6;6;5;4;6;7;6;7;13;24;31;38;49;50;56;61;66;73;71;76;95;87;79;68;63;59;50;43;32;19;12;9;9;6;5;4;3;1;1;;1;;;
M¿s de 7;Ninguno;Ninguno;MATRICULADOS;1994;2378;2885;3271;3963;4436;5147;5664;5971;5938;6311;6405;6567;6548;6780;6738;6956;6980;7030;7180;7352;7580;7808;7854;7927;8054;8260;9173;8422;8565;8752;8802;8817;8638;8491;7796;7332;6660;6125;5374;4812;4194;3594;2957;2473;2059;1885;1634;1379;1224;1002;843;686;520
M¿s de 7;Ninguno;1 a 3;MATRICULADOS;145;174;232;252;303;326;394;414;477;476;479;468;464;452;463;455;455;426;409;396;398;393;407;380;379;351;366;371;321;306;293;253;240;207;195;192;164;158;139;120;102;87;78;62;50;36;30;29;22;17;12;9;10;5
M¿s de 7;Ninguno;4 a 6;MATRICULADOS;3;11;14;19;25;29;35;39;43;40;44;50;48;44;47;46;50;49;57;77;92;108;120;137;152;159;180;196;193;178;175;169;178;171;175;162;144;131;113;94;77;54;35;19;11;7;10;6;4;6;2;3;3;3
M¿s de 7;Ninguno;M¿s de 7;MATRICULADOS;1;1;1;1;3;4;4;5;5;7;7;6;7;7;9;8;7;8;12;37;52;66;85;100;123;129;154;175;178;187;207;186;165;152;145;134;108;95;61;38;25;15;8;7;4;5;5;1;2;1;1;1;;1
M¿s de 7;1 a 3;Sin Informaci¿n;MATRICULADOS;;;1;1;1;1;1;2;3;3;6;7;10;12;13;12;14;14;14;15;10;6;5;6;6;5;6;7;11;11;19;36;37;39;39;39;36;36;32;30;24;20;12;10;9;5;6;4;3;3;3;2;2;1
M¿s de 7;1 a 3;Ninguno;MATRICULADOS;158;231;368;454;546;602;727;796;907;1041;1214;1308;1426;1509;1528;1497;1568;1525;1502;1352;1241;1107;1033;954;896;895;946;1058;1018;1059;1174;1315;1530;1753;2035;2262;2709;2931;3468;3635;3999;4107;4418;4415;4534;4258;4182;3764;3348;2966;2426;2071;1734;1312
M¿s de 7;1 a 3;1 a 3;MATRICULADOS;21;38;57;64;79;81;100;107;140;166;183;192;201;208;205;192;192;181;178;149;121;104;97;76;66;61;66;64;72;73;76;87;99;135;188;220;246;267;265;260;255;251;231;201;188;156;144;109;88;73;50;42;37;31
M¿s de 7;1 a 3;4 a 6;MATRICULADOS;5;7;10;13;14;15;20;24;32;39;50;54;62;65;69;66;66;62;68;54;47;41;32;30;25;26;30;37;35;38;42;54;81;116;142;147;148;153;151;144;127;120;102;77;60;48;38;28;21;16;13;13;11;9
M¿s de 7;1 a 3;M¿s de 7;MATRICULADOS;1;1;2;3;3;3;3;4;5;6;9;12;20;24;26;24;28;29;31;30;31;25;23;21;23;26;32;38;50;54;55;54;54;53;52;51;47;43;38;33;26;20;16;12;12;7;7;4;5;3;2;1;1;1
M¿s de 7;4 a 6;Sin Informaci¿n;MATRICULADOS;1;1;1;2;3;2;2;3;3;4;5;9;16;19;23;28;35;36;36;37;34;34;32;27;20;23;19;21;15;13;29;73;69;69;65;68;65;67;67;52;30;16;11;10;6;6;6;3;3;2;3;2;2;3
M¿s de 7;4 a 6;Ninguno;MATRICULADOS;55;101;135;167;210;237;299;340;391;438;522;560;626;677;791;805;880;880;897;869;836;835;796;711;594;535;535;608;535;578;658;769;1097;1245;1834;1945;2248;2457;2988;3241;3803;4008;4290;4330;4389;4300;4523;4304;3919;3453;2902;2361;1812;1312
M¿s de 7;4 a 6;1 a 3;MATRICULADOS;17;28;58;66;89;101;132;145;190;215;223;212;208;199;204;194;210;188;160;135;118;119;113;88;72;64;54;62;54;51;57;65;68;84;129;134;157;173;167;167;161;163;156;146;134;128;111;101;86;74;52;48;29;21
M¿s de 7;4 a 6;4 a 6;MATRICULADOS;3;5;10;11;21;24;28;40;41;40;52;58;71;74;83;84;85;77;77;75;74;72;62;54;47;41;46;53;48;42;54;71;78;175;255;252;247;252;247;241;229;203;174;131;76;66;53;36;20;15;13;10;9;5
M¿s de 7;4 a 6;M¿s de 7;MATRICULADOS;;1;2;2;3;3;5;7;9;8;13;25;108;148;196;208;229;230;235;231;224;218;188;148;93;71;65;79;50;42;54;56;57;56;52;51;50;38;30;24;20;17;10;5;6;7;6;5;5;5;4;3;2;
M¿s de 7;M¿s de 7;Sin Informaci¿n;MATRICULADOS;;;;;;;;;;;;;1;1;3;5;6;7;7;9;19;20;24;28;35;40;50;65;85;86;93;103;99;92;83;68;63;44;39;33;26;26;23;15;15;10;11;9;8;9;10;6;7;4
M¿s de 7;M¿s de 7;Ninguno;MATRICULADOS;25;43;88;119;170;193;220;221;241;243;247;227;214;195;194;183;232;282;397;453;575;665;788;851;999;1046;1184;1293;1273;1265;1265;1220;1277;1274;1442;1538;1892;2111;2455;2692;3459;3839;4439;4738;5483;5795;6313;6133;5823;5329;4760;4218;3654;2902
M¿s de 7;M¿s de 7;1 a 3;MATRICULADOS;2;4;12;17;27;34;39;39;42;45;45;43;42;38;29;23;32;51;87;97;126;138;161;179;219;226;241;253;214;201;195;181;160;140;142;161;177;189;188;185;190;187;197;194;203;195;174;153;127;105;88;76;60;44
M¿s de 7;M¿s de 7;4 a 6;MATRICULADOS;;1;2;2;3;4;5;5;6;6;6;6;5;6;7;7;10;15;26;34;82;97;145;152;180;189;218;224;238;219;198;177;151;147;149;127;106;93;89;86;81;83;74;70;57;48;38;36;30;21;20;13;12;8
M¿s de 7;M¿s de 7;M¿s de 7;MATRICULADOS;;;;;;;;;;;2;3;20;29;38;46;69;90;135;173;220;274;327;366;453;493;551;643;729;746;745;689;655;594;536;492;421;319;207;166;109;71;50;32;15;13;14;13;11;8;8;9;7;5
