lag4,lag3,lag2,lag1,semestre,CARACTER,ORIGEN,DEPARTAMENTO,MUNICIPIO
18.65,14.36,20.37,24.66,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
14.36,20.37,24.66,31.6,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
20.37,24.66,31.6,33.49,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
24.66,31.6,33.49,17.65,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
31.6,33.49,17.65,17.6,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
33.49,17.65,17.6,20.07,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
17.65,17.6,20.07,17.7,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
17.6,20.07,17.7,21.08,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
20.07,17.7,21.08,23.56,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
17.7,21.08,23.56,16.86,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
21.08,23.56,16.86,15.61,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
23.56,16.86,15.61,12.01,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
16.86,15.61,12.01,13.2,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
15.61,12.01,13.2,10.64,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
12.01,13.2,10.64,21.38,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
13.2,10.64,21.38,17.89,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
10.64,21.38,17.89,16.24,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
21.38,17.89,16.24,11.02,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
17.89,16.24,11.02,11.07,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
16.24,11.02,11.07,15.66,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
11.02,11.07,15.66,16.35,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
11.07,15.66,16.35,17.32,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
15.66,16.35,17.32,18.15,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
16.35,17.32,18.15,14.53,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
17.32,18.15,14.53,16.77,2,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
18.15,14.53,16.77,16.89,1,Institución universitaria/Escuela Tecnológica,No oficial,bogota d c,bogota dc
0.0,0.0,2.08,2.7,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
0.0,2.08,2.7,8.56,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
2.08,2.7,8.56,10.29,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
2.7,8.56,10.29,8.68,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
8.56,10.29,8.68,7.88,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
10.29,8.68,7.88,6.0,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
8.68,7.88,6.0,7.75,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
7.88,6.0,7.75,10.49,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
6.0,7.75,10.49,9.89,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
7.75,10.49,9.89,8.02,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
10.49,9.89,8.02,9.48,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
9.89,8.02,9.48,10.02,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
8.02,9.48,10.02,10.81,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
9.48,10.02,10.81,9.09,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
10.02,10.81,9.09,8.77,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
10.81,9.09,8.77,7.08,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
9.09,8.77,7.08,8.06,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
8.77,7.08,8.06,8.74,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
7.08,8.06,8.74,6.82,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
8.06,8.74,6.82,7.39,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
8.74,6.82,7.39,12.94,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
6.82,7.39,12.94,10.21,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
7.39,12.94,10.21,16.86,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
12.94,10.21,16.86,12.55,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
10.21,16.86,12.55,10.04,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
16.86,12.55,10.04,11.58,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
12.55,10.04,11.58,12.37,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
10.04,11.58,12.37,12.56,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
11.58,12.37,12.56,12.04,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
12.37,12.56,12.04,10.09,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
12.56,12.04,10.09,8.63,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
12.04,10.09,8.63,10.69,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
10.09,8.63,10.69,11.83,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
8.63,10.69,11.83,9.62,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
10.69,11.83,9.62,9.65,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
11.83,9.62,9.65,12.0,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
9.62,9.65,12.0,12.18,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
9.65,12.0,12.18,10.19,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
12.0,12.18,10.19,10.7,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
12.18,10.19,10.7,9.44,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
10.19,10.7,9.44,10.32,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
10.7,9.44,10.32,9.92,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
9.44,10.32,9.92,13.15,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
10.32,9.92,13.15,16.13,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
9.92,13.15,16.13,13.38,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
13.15,16.13,13.38,12.12,2,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
16.13,13.38,12.12,10.02,1,Institución universitaria/Escuela Tecnológica,No oficial,antioquia,medellin
0.0,0.0,69.73,12.1,2,Institución tecnológica,No oficial,bogota d c,bogota dc
0.0,69.73,12.1,8.21,1,Institución tecnológica,No oficial,bogota d c,bogota dc
69.73,12.1,8.21,21.65,2,Institución tecnológica,No oficial,bogota d c,bogota dc
12.1,8.21,21.65,13.92,1,Institución tecnológica,No oficial,bogota d c,bogota dc
8.21,21.65,13.92,14.51,2,Institución tecnológica,No oficial,bogota d c,bogota dc
21.65,13.92,14.51,14.62,1,Institución tecnológica,No oficial,bogota d c,bogota dc
13.92,14.51,14.62,8.08,2,Institución tecnológica,No oficial,bogota d c,bogota dc
14.51,14.62,8.08,5.93,1,Institución tecnológica,No oficial,bogota d c,bogota dc
14.62,8.08,5.93,12.64,2,Institución tecnológica,No oficial,bogota d c,bogota dc
8.08,5.93,12.64,8.94,1,Institución tecnológica,No oficial,bogota d c,bogota dc
5.93,12.64,8.94,1.02,2,Institución tecnológica,No oficial,bogota d c,bogota dc
12.64,8.94,1.02,20.34,1,Institución tecnológica,No oficial,bogota d c,bogota dc
8.94,1.02,20.34,3.91,2,Institución tecnológica,No oficial,bogota d c,bogota dc
1.02,20.34,3.91,12.71,1,Institución tecnológica,No oficial,bogota d c,bogota dc
20.34,3.91,12.71,16.94,2,Institución tecnológica,No oficial,bogota d c,bogota dc
3.91,12.71,16.94,7.26,1,Institución tecnológica,No oficial,bogota d c,bogota dc
12.71,16.94,7.26,8.2,2,Institución tecnológica,No oficial,bogota d c,bogota dc
16.94,7.26,8.2,8.31,1,Institución tecnológica,No oficial,bogota d c,bogota dc
7.26,8.2,8.31,6.1,2,Institución tecnológica,No oficial,bogota d c,bogota dc
8.2,8.31,6.1,4.0,1,Institución tecnológica,No oficial,bogota d c,bogota dc
8.31,6.1,4.0,29.05,2,Institución tecnológica,No oficial,bogota d c,bogota dc
6.1,4.0,29.05,12.06,1,Institución tecnológica,No oficial,bogota d c,bogota dc
4.0,29.05,12.06,12.86,2,Institución tecnológica,No oficial,bogota d c,bogota dc
29.05,12.06,12.86,16.3,1,Institución tecnológica,No oficial,bogota d c,bogota dc
12.06,12.86,16.3,12.58,2,Institución tecnológica,No oficial,bogota d c,bogota dc
12.86,16.3,12.58,15.75,1,Institución tecnológica,No oficial,bogota d c,bogota dc
16.3,12.58,15.75,24.2,2,Institución tecnológica,No oficial,bogota d c,bogota dc
12.58,15.75,24.2,22.17,1,Institución tecnológica,No oficial,bogota d c,bogota dc
15.75,24.2,22.17,27.72,2,Institución tecnológica,No oficial,bogota d c,bogota dc
24.2,22.17,27.72,17.59,1,Institución tecnológica,No oficial,bogota d c,bogota dc
22.17,27.72,17.59,23.33,2,Institución tecnológica,No oficial,bogota d c,bogota dc
27.72,17.59,23.33,15.53,1,Institución tecnológica,No oficial,bogota d c,bogota dc
0.0,0.0,45.45,82.02,1,Institución tecnológica,No oficial,valle del cauca,cartago
0.0,45.45,82.02,45.57,2,Institución tecnológica,No oficial,valle del cauca,cartago
45.45,82.02,45.57,63.33,1,Institución tecnológica,No oficial,valle del cauca,cartago
82.02,45.57,63.33,100.0,2,Institución tecnológica,No oficial,valle del cauca,cartago
45.57,63.33,100.0,100.0,1,Institución tecnológica,No oficial,valle del cauca,cartago
63.33,100.0,100.0,18.42,2,Institución tecnológica,No oficial,valle del cauca,cartago
100.0,100.0,18.42,0.0,1,Institución tecnológica,No oficial,valle del cauca,cartago
100.0,18.42,0.0,35.29,2,Institución tecnológica,No oficial,valle del cauca,cartago
